Name,Gender,Nationality,Age,Stroke,Speciality,US College / University,DI Conference,Birthday,Previous US College / University,Previous DI Conference,Continent 1,Continent 2,ISL Team,Former ISL Teams,Image,World Aquatics Site,,,,NCAA College,Conference,,USA,North America,
Aaron Shackell,Male,USA,20,"Fly, Free",Stroke,"University of California, Berkeley",ACC,9/8/2004,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1533345/aaron-shackell,,,,"University of California, Berkeley",ACC,,CAN,North America,
Abbey Harkin,Female,AUS,27,"IM, Breast",Mid-D,N/A,N/A,5/6/1998,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1048458/abbey-harkin,,,,N/A,N/A,,JAM,North America,
Abbey Weitzeil,Female,USA,28,Free,Sprint,"University of California, Berkeley",ACC,12/3/1996,,,North America,,LAC,,,https://www.worldaquatics.com/athletes/1000261/abbey-weitzeil,,,,Stanford University,ACC,,CYM,North America,
Abbie Wood,Female,GBR,26,"IM, Breast",Mid-D,N/A,N/A,3/2/1999,,,Europe,,NYB,,,https://www.worldaquatics.com/athletes/1025115/abbie-wood,,,,University of Florida,SEC,,BRA,South America,
Abrahm Devine,Male,USA,28,"IM, Back",Mid-D,Stanford University,ACC,9/3/1996,,,North America,,LAC,DCT,,https://www.worldaquatics.com/athletes/1002819/abrahm-devine,,,,Indiana University,B1G,,TTO,South America,
Adam Chaney,Male,USA,23,"Back, Free",Sprint,Arizona State University,BIG 12,3/27/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1136696/adam-chaney,,,,North Carolina State University,ACC,,JPN,Asia,
Adam Peaty,Male,GBR,30,Breast,Sprint,N/A,N/A,12/28/1994,,,Europe,,LON,,,https://www.worldaquatics.com/athletes/1000785/adam-peaty,,,,University of Virginia,ACC,,CHN,Asia,
Ahmed Hafnaoui,Male,TUN,22,Free,Distance,Indiana University,B1G,12/4/2002,,,Africa,,N/A,,,https://www.worldaquatics.com/athletes/1161559/ahmed-hafnaoui,,,,University of Michigan,B1G,,KOR,Asia,
Ahmed Jaouadi,,,19,Free,Distance,N/A,N/A,5/30/2005,,,,,N/A,,,https://www.worldaquatics.com/athletes/1544338/ahmed-jaouadi,,,,Texas A&M University,SEC,,SIN,Asia,
Aiden Hayes,Male,USA,22,Fly,Stroke,North Carolina State University,ACC,1/1/2003,,,North America,,N/A,,,,,,,Penn State University,B1G,,HKG,Asia,
Aimee Canny,Female,RSA,21,Free,Sprint,University of Virginia,ACC,11/21/2003,,,Africa,,N/A,,,https://www.worldaquatics.com/athletes/1190199/aimee-canny,,,,University of Georgia,SEC,,RUS,Asia,Europe
AJ Pouch,,,24,Breast,Stroke,Virginia Tech University,ACC,11/15/2000,,,,,N/A,,,https://www.worldaquatics.com/athletes/1136939/a-j-pouch,,,,University of Louisville,ACC,,TUR,Asia,Europe
Alberto Razzetti,Male,ITA,25,"IM, Fly",Mid-D,N/A,N/A,6/2/1999,,,Europe,,TOR,,,https://www.worldaquatics.com/athletes/1057211/alberto-razzetti,,,,Emory University,N/A,,EGY,Asia,Africa
Alessandro Miressi,Male,ITA,26,Free,Sprint,N/A,N/A,10/2/1998,,,Europe,,AQC,,,https://www.worldaquatics.com/athletes/1020865/alessandro-miressi,,,,University of Texas,SEC,,UKR,Europe,
Alex Graham,Male,AUS,30,Free,Sprint,N/A,N/A,4/28/1995,,,Austrailia,,N/A,LON,,https://www.worldaquatics.com/athletes/1005576/alexander-graham,,,,University of Arkansas,SEC,,GER,Europe,
Alex Shackell,Female,USA,18,"Fly, Free",Stroke,"University of California, Berkeley",ACC,11/23/2006,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1533460/alex-shackell,,,,Auburn University,SEC,,FRA,Europe,
Alex Walsh,Female,USA,23,IM,Stroke,University of Virginia,ACC,7/31/2001,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1057263/alex-walsh,,,,University of Alabama,SEC,,ITA,Europe,
Alexandria Perkins,Female,AUS,24,Fly,Stroke,N/A,N/A,7/27/2000,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1188518/alexandria-perkins,,,,Duke University,ACC,,POL,Europe,
Alfonso Mestre,Male,VEN,23,Free,Distance,University of Florida,SEC,9/24/2001,,,South America,,N/A,,,https://www.worldaquatics.com/athletes/1189916/alfonso-enrique-mestre-vivas,,,,University of Wisconsin,B1G,,NED,Europe,
Ali DeLoof,Female,USA,30,"Back, Free",Sprint,University of Michigan,B1G,8/14/1994,,,North America,,DCT,"LAC, NYB",,https://www.worldaquatics.com/athletes/1051345/alexandra-de-loof,,,,University of Minnesota,B1G,,SUI,Europe,
Alia Atkinson,Female,JAM,36,Breast,Stroke,Texas A&M University,SEC,12/11/1988,,,North America,,LON,IRO,,https://www.worldaquatics.com/athletes/1000569/alia-atkinson,,,,University of Arizona,BIG 12,,AUT,Europe,
Alley McCugh,Female,USA,28,"IM, Free",Distance,Penn State University,B1G,5/14/1997,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1136845/ally-mchugh,,,,Louisiana State University,SEC,,GRE,Europe,
Allison Schmitt,Female,USA,34,Free,Mid-D,University of Georgia,SEC,6/7/1990,,,North America,,N/A,CAC,,https://www.worldaquatics.com/athletes/1001828/allison-schmitt,,,,Georgia Tech University,ACC,,SWE,Europe,
Amy Bilquist,Female,USA,27,"Back, Free",Sprint,"University of California, Berkeley",ACC,8/11/1997,,,North America,,N/A,"LAC, DCT",,https://www.worldaquatics.com/athletes/1000061/amy-bilquist,,,,Ohio State University,B1G,,DEN,Europe,
Anastasia Gorbenko,Female,ISR,21,"IM, Back",Stroke,N/A,N/A,8/7/2003,,,Asia,,LAC,,,https://www.worldaquatics.com/athletes/1135373/anastasia-gorbenko,,,,Harvard University,IV League,,ROM,Europe,
Anastasiya Kirpichnikova,,,24,Free,Distance,N/A,N/A,6/24/2000,,,,,N/A,,,https://www.worldaquatics.com/athletes/1020229/anastasiia-kirpichnikova,,,,University of Southern California,B1G,,HUN,Europe,
Andreas Vazaios,Male,GRE,31,"IM, Fly",Stroke,North Carolina State University,ACC,5/9/1994,,,Europe,,DCT,LON,,https://www.worldaquatics.com/athletes/1000075/andreas-vazaios,,,,University of Tennessee,SEC,,IRL,Europe,
Andrei Minakov,Male,RUS,23,"Fly, Free",Sprint,Stanford University,ACC,3/17/2002,,,Asia,Europe,N/A,,,https://www.worldaquatics.com/athletes/1057123/andrei-minakov,,,,"University of Maryland, Baltimore County",America East,,LTU,Europe,
Andrej Barna,Male,SRB,27,Free,Sprint,University of Louisville,ACC,3/6/1998,,,Europe,,IRO,,,https://www.worldaquatics.com/athletes/1019734/andrej-barna,,,,University of Missouri,SEC,,ISL,Europe,
Andrew Seliskar,Male,USA,28,"IM, Free",Mid-D,"University of California, Berkeley",ACC,9/26/1996,,,North America,,N/A,LAC,,https://www.worldaquatics.com/athletes/1035839/andrew-seliskar,,,,Arizona State University,BIG 12,,GBR,Europe,
Andrew Wilson,Male,USA,31,Breast,Stroke,Emory University,N/A,9/16/1993,,,North America,,N/A,CAC,,https://www.worldaquatics.com/athletes/1136799/andrew-wilson,,,,Northwestern University,B1G,,SRB,Europe,
Andrii Govorov,Male,UKR,33,"Fly, Free",Sprint,N/A,N/A,4/10/1992,,,Europe,,N/A,TOR,,https://www.worldaquatics.com/athletes/1007282/andrii-govorov,,,,Columbia University,IV League,,RSA,Africa,
Anna Elendt,Female,GER,23,Breast,Stroke,University of Texas,SEC,9/4/2001,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1134854/anna-elendt,,,,University of South Carolina,SEC,,TUN,Africa,
Anna Hopkin,Female,GBR,29,Free,Sprint,University of Arkansas,SEC,4/24/1996,,,Europe,,DCT,LON,,https://www.worldaquatics.com/athletes/1089220/anna-hopkin,,,,UCLA,B1G,,AUS,Austrailia,
Anna Peplowski,Female,USA,22,"Back, Free",Stroke,Indiana University,B1G,9/25/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1332468/anna-peplowski,,,,Grand Canyon University,N/A,,NZL,Austrailia,
Annie Lazor,Female,USA,30,Breast,Stroke,Auburn University,SEC,8/17/1994,Ohio State University,B1G,North America,,LON,LAC,,https://www.worldaquatics.com/athletes/1105137/annie-lazor,,,,University of Pennsylvania,IV League,,SPN,Europe,Africa
Anthony Ervin,Male,USA,43,Free,Sprint,"University of California, Berkeley",ACC,5/26/1981,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1002023/anthony-ervin,,,,Virginia Tech University,ACC,,BLR,Europe,
Anton Chupkov,Male,RUS,28,Breast,Stroke,N/A,N/A,2/22/1997,,,Asia,Europe,N/A,ENS,,https://www.worldaquatics.com/athletes/1007762/anton-chupkov,,,,"University of Nevada, Las Vegas",MWC,,ISR,Asia,
Anton McKee,Male,ISL,31,Breast,Stroke,University of Alabama,SEC,12/18/1993,,,Europe,,TOR,,,https://www.worldaquatics.com/athletes/1007174/anton-mckee,,,,,,,NOR,Europe,
Apostolos Christou,Male,GRE,28,Back,Stroke,N/A,N/A,11/1/1996,,,Europe,,LAC,AQC,,https://www.worldaquatics.com/athletes/1000678/apostolos-christou,,,,University of Denver,N/A,,JOR,Asia,
Arianna Castiglioni,Female,ITA,27,Breast,Stroke,N/A,N/A,8/15/1997,,,Europe,,AQC,,,https://www.worldaquatics.com/athletes/1000110/arianna-castiglioni,,,,,,,MEX,North America,
Ariarne Titmus,Female,AUS,24,Free,Mid-D,N/A,N/A,9/7/2000,,,Austrailia,,N/A,CAC,,https://www.worldaquatics.com/athletes/1020594/ariarne-titmus,,,,,,,PHI,Asia,
Arno Kamminga,Male,NED,29,Breast,Stroke,N/A,N/A,10/22/1995,,,Europe,,AQC,,,https://www.worldaquatics.com/athletes/1048597/arno-kamminga,,,,,,,TWN,Asia,
Ashley Wall,Female,USA,35,Free,Distance,Duke University,ACC,6/15/1989,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1025618/ashley-twichell,,,,,,,PUR,North America,
Austin Katz,Male,USA,26,Back,Stroke,University of Texas,SEC,3/19/1999,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1020837/austin-katz,,,,,,,BEL,Europe,
Bailey Andison,Female,CAN,27,"IM, Breast",Mid-D,Indiana University,B1G,11/13/1997,University of Denver,N/A,North America,,DCT,LAC,,https://www.worldaquatics.com/athletes/1107899/bailey-andison,,,,,,,VEN,South America,
Baylor Nelson,Male,USA,21,"IM, Breast",Mid-D,University of Texas,SEC,6/23/2003,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1332266/baylor-nelson,,,,,,,BIH,Europe,
Beata Nelson,Female,USA,27,"IM, Back",Stroke,University of Wisconsin,B1G,2/9/1998,,,North America,,CAC,,,https://www.worldaquatics.com/athletes/1020484/beata-nelson,,,,,,,,,
Bella Sims,Female,USA,19,"IM, Free",Mid-D,University of Florida,SEC,5/25/2005,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1416018/bella-sims,,,,,,,,,
Ben Proud,Male,GBR,30,"Fly, Free",Sprint,N/A,N/A,9/21/1994,,,Europe,,ENS,,,https://www.worldaquatics.com/athletes/1000849/benjamin-proud,,,,,,,,,
Benedetta Pilato,Female,ITA,20,Breast,Sprint,N/A,N/A,1/8/2005,,,Europe,,ENS,,,https://www.worldaquatics.com/athletes/1189393/benedetta-pilato,,,,,,,,,
Beryl Gastaldello,Female,FRA,30,"Fly, Free",Sprint,Texas A&M University,SEC,2/16/1995,,,Europe,,LAC,,,https://www.worldaquatics.com/athletes/1020163/beryl-gastaldello,,,,,,,,,
Bethany Galat,Female,USA,29,"IM, Breast",Stroke,Texas A&M University,SEC,8/10/1995,,,North America,,N/A,DCT,,https://www.worldaquatics.com/athletes/1056272/bethany-galat,,,,,,,,,
Bjorn Seeliger,Male,SWE,25,"Back, Free",Sprint,"University of California, Berkeley",ACC,1/11/2000,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1051341/bjoern-seeliger,,,,,,,,,
Blake Pieroni,Male,USA,29,Free,Sprint,Indiana University,B1G,11/15/1995,,,North America,,N/A,"TOR, LAC",,https://www.worldaquatics.com/athletes/1043510/blake-pieroni,,,,,,,,,
Bobby Finke,Male,USA,25,"IM, Free",Distance,University of Florida,SEC,11/6/1999,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1056309/bobby-finke,,,,,,,,,
Bowen Becker,Male,USA,27,Free,Sprint,University of Minnesota,B1G,7/7/1997,,,North America,,N/A,"TOK, CAC",,https://www.worldaquatics.com/athletes/1136695/bowen-becker,,,,,,,,,
Brad Tandy,Male,RSA,34,Free,Sprint,University of Arizona,BIG 12,5/2/1991,,,Africa,,N/A,NYB,,https://www.worldaquatics.com/athletes/1043511/bradley-tandy,,,,,,,,,
Breeja Larson,Female,USA,33,Breast,Stroke,Texas A&M University,SEC,4/16/1992,,,North America,,N/A,NYB,,https://www.worldaquatics.com/athletes/1001198/breeja-larson,,,,,,,,,
Brendan Burns,Male,USA,27,"Fly, Back",Stroke,Indiana University,B1G,1/1/1998,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1190660/brendan-burns,,,,,,,,,
Brendon Smith,Male,AUS,24,"IM, Free",Mid-D,N/A,N/A,7/4/2000,,,Austrailia,,NYB,,,https://www.worldaquatics.com/athletes/1132741/brendon-smith,,,,,,,,,
Brent Hayden,Male,CAN,41,Free,Sprint,N/A,N/A,10/21/1983,,,North America,,N/A,TOR,,https://www.worldaquatics.com/athletes/1010628/brent-hayden,,,,,,,,,
Brianna Throssell,Female,AUS,29,"Fly, Free",Stroke,N/A,N/A,2/10/1996,,,Austrailia,,DCT,,,https://www.worldaquatics.com/athletes/1000328/brianna-throssell,,,,,,,,,
Brodie Williams,Male,GBR,26,"IM, Back",Mid-D,N/A,N/A,3/18/1999,,,Europe,,CAC,,,https://www.worldaquatics.com/athletes/1057158/brodie-paul-williams,,,,,,,,,
Bronte Campbell,Female,AUS,31,Free,Sprint,N/A,N/A,5/14/1994,,,Austrailia,,N/A,"LAC, LON",,https://www.worldaquatics.com/athletes/1000938/bronte-campbell,,,,,,,,,
Brooke Forde,Female,USA,26,"IM, Free",Mid-D,Stanford University,ACC,3/4/1999,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1020410/brooke-forde,,,,,,,,,
Brooks Curry,Male,USA,24,Free,Sprint,Louisiana State University,SEC,1/20/2001,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1279657/brooks-curry,,,,,,,,,
Bruno Fratus,Male,BRA,35,Free,Sprint,N/A,N/A,6/30/1989,,,South America,,N/A,TOK,,https://www.worldaquatics.com/athletes/1013363/bruno-fratus,,,,,,,,,
Bryce Mefford,Male,USA,26,Back,Stroke,"University of California, Berkeley",ACC,10/3/1998,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1001928/bryce-mefford,,,,,,,,,
Caeleb Dressel,Male,USA,28,"Fly, Free",Sprint,University of Florida,SEC,8/16/1996,,,North America,,CAC,,,https://www.worldaquatics.com/athletes/1036454/caeleb-dressel,,,,,,,,,
Caio Pumputis,Male,BRA,26,"IM, Breast",Stroke,Georgia Tech University,ACC,1/8/1999,,,South America,,N/A,,,https://www.worldaquatics.com/athletes/1020854/caio-pumputis,,,,,,,,,
Camden Murphy,Male,USA,26,Fly,Stroke,University of Georgia,SEC,4/6/1999,,,North America,,DCT,,,,,,,,,,,,
Cameron McEvoy,Male,AUS,31,Free,Sprint,N/A,N/A,5/13/1994,,,Austrailia,,N/A,"LON, NYB",,https://www.worldaquatics.com/athletes/1000604/cameron-mcevoy,,,,,,,,,
Camille Spink,,,20,Free,Sprint,University of Tennessee,SEC,9/27/2004,,,,,N/A,,,https://www.worldaquatics.com/athletes/1416222/camille-spink,,,,,,,,,
Carles Coll Marti,,,23,"IM, Breast",Stroke,Virginia Tech University,ACC,10/15/2001,,,,,N/A,,,https://www.worldaquatics.com/athletes/1140633/carles-coll-marti,,,,,,,,,
Carson Foster,Male,USA,23,"IM, Back",Mid-D,University of Texas,SEC,10/26/2001,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1057054/carson-foster,,,,,,,,,
Caspar Corbeau,Male,NED,24,Breast,Stroke,Indiana University,B1G,4/3/2001,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1140538/caspar-corbeau,,,,,,,,,
Cate Campbell,Female,AUS,33,Free,Sprint,N/A,N/A,5/20/1992,,,Austrailia,,N/A,LON,,https://www.worldaquatics.com/athletes/1006057/cate-campbell,,,,,,,,,
Catie DeLoof,Female,USA,28,"Back, Free",Sprint,University of Michigan,B1G,2/12/1997,,,North America,,TOK,NYB,,https://www.worldaquatics.com/athletes/1190936/catie-de-loof,,,,,,,,,
Chad Le Clos,Male,RSA,33,Fly,Stroke,N/A,N/A,4/12/1992,,,Africa,,ENS,,,https://www.worldaquatics.com/athletes/1000903/chad-le-clos,,,,,,,,,
Charlie Clark,Male,USA,22,Free,Distance,Ohio State University,B1G,6/17/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1332757/charlie-clark,,,,,,,,,
Charlie Swanson,Male,USA,27,"IM, Breast",Mid-D,University of Michigan,B1G,2/20/1998,,,North America,,ENS,,,https://www.worldaquatics.com/athletes/1003455/charlie-swanson,,,,,,,,,
Charlotte Bonnet,Female,FRA,30,"Breast, Free",Stroke,N/A,N/A,2/15/1995,,,Europe,,N/A,ENS,,https://www.worldaquatics.com/athletes/1000556/charlotte-bonnet,,,,,,,,,
Chase Kalisz,Male,USA,31,"IM, Fly",Mid-D,University of Georgia,SEC,3/7/1994,,,North America,,AQC,LAC,,https://www.worldaquatics.com/athletes/1002190/chase-kalisz,,,,,,,,,
Chelsea Hodges,Female,AUS,23,Breast,Stroke,N/A,N/A,6/27/2001,,,Austrailia,,TOR,,,https://www.worldaquatics.com/athletes/1057302/chelsea-hodges,,,,,,,,,
Chris Guiliano,Male,USA,21,Free,Sprint,University of Texas,SEC,6/25/2003,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1532544/chris-guiliano,,,,,,,,,
Christian Diener,Male,GER,31,Back,Stroke,N/A,N/A,6/3/1993,,,Europe,,LON,,,https://www.worldaquatics.com/athletes/1001228/christian-diener,,,,,,,,,
Claire Curzan,Female,USA,20,"Fly, Back",Stroke,University of Virginia,ACC,6/30/2004,Stanford University,ACC,North America,,N/A,,,https://www.worldaquatics.com/athletes/1190176/claire-curzan,,,,,,,,,
Claire Weinstein,Female,USA,18,"IM, Free",Mid-D,"University of California, Berkeley",ACC,3/1/2007,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1516284/claire-weinstein,,,,,,,,,
Clark Smith,Male,USA,30,Free,Distance,University of Texas,SEC,4/17/1995,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1043503/clark-smith,,,,,,,,,
Clyde Lewis,Male,AUS,27,Free,Mid-D,N/A,N/A,9/25/1997,,,Austrailia,,N/A,"NYB, CAC",,https://www.worldaquatics.com/athletes/1020818/clyde-lewis,,,,,,,,,
Cody Miller,Male,USA,33,Breast,Stroke,Indiana University,B1G,1/9/1992,,,North America,,DCT,,,https://www.worldaquatics.com/athletes/1001175/cody-miller,,,,,,,,,
Cody Simpson,Male,AUS,28,"Fly, Free",Sprint,N/A,N/A,1/11/1997,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1539373/cody-simpson,,,,,,,,,
Coleman Stewart,Male,USA,27,"Fly, Back",Stroke,North Carolina State University,ACC,3/3/1998,,,North America,,CAC,,,https://www.worldaquatics.com/athletes/1136701/coleman-stewart,,,,,,,,,
Connor Jaeger,Male,USA,34,Free,Distance,University of Michigan,B1G,4/30/1991,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1002019/connor-jaeger,,,,,,,,,
Daiya Seto,Male,JPN,30,"IM, Fly",Mid-D,N/A,N/A,5/24/1994,,,Asia,,TOK,ENS,,https://www.worldaquatics.com/athletes/1000725/daiya-seto,,,,,,,,,
Dakota Luther,Female,USA,25,Fly,Stroke,University of Texas,SEC,11/7/1999,University of Georgia,SEC,North America,,N/A,,,https://www.worldaquatics.com/athletes/1036156/dakota-luther,,,,,,,,,
