Name,Gender,Nationality,Age,Stroke,Speciality,US College / University,DI Conference,Birthday,Previous US College / University,Previous DI Conference,Continent 1,Continent 2,ISL Team,Former ISL Teams,Image,World Aquatics Site,,,,NCAA College,Conference,,USA,North America,
Melanie Margalis,Female,USA,33,"IM, Breast",Mid-D,University of Georgia,SEC,12/30/1991,,,North America,,N/A,CAC,,https://www.worldaquatics.com/athletes/1000565/melanie-margalis,,,,,,,,,
Michael Andrew,Male,USA,26,"Breast, Free",Sprint,N/A,N/A,4/18/1999,,,North America,,N/A,NYB,,https://www.worldaquatics.com/athletes/1002301/michael-andrew,,,,,,,,,
Michael Brinegar,Male,USA,25,Free,Distance,Indiana University,B1G,9/15/1999,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1043019/michael-brinegar,,,,,,,,,
Michael Chadwick,Male,USA,30,Free,Sprint,University of Missouri,SEC,4/15/1995,,,North America,,N/A,"TOR, LAC",,https://www.worldaquatics.com/athletes/1051317/michael-chadwick,,,,,,,,,
Michelle Coleman,Female,SWE,31,"Back, Free",Sprint,N/A,N/A,10/31/1993,,,Europe,,TOR,,,https://www.worldaquatics.com/athletes/1000905/michelle-coleman,,,,,,,,,
Minna Atherton,Female,AUS,25,Back,Stroke,N/A,N/A,5/17/2000,,,Austrailia,,LON,,,https://www.worldaquatics.com/athletes/1020915/minna-atherton,,,,,,,,,
Mireia Belmonte,Female,SPN,34,"IM, Fly",Mid-D,N/A,N/A,11/10/1990,,,Europe,Africa,N/A,"LON, IRO",,https://www.worldaquatics.com/athletes/1001117/mireia-belmonte-garcia,,,,,,,,,
Missy Franklin,Female,USA,30,"Back, Free",Stroke,"University of California, Berkeley",ACC,5/10/1995,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1009660/missy-franklin,,,,,,,,,
Mitch Larkin,Male,AUS,31,"IM, Back",Stroke,N/A,N/A,7/9/1993,,,Austrailia,,N/A,CAC,,https://www.worldaquatics.com/athletes/1000085/mitchell-larkin,,,,,,,,,
Mollie O'Callaghan,Female,AUS,21,"Back, Free",Stroke,N/A,N/A,4/2/2004,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1188018/mollie-o-callaghan,,,,,,,,,
Molly Hannis,Female,USA,33,Breast,Stroke,University of Tennessee,SEC,3/13/1992,,,North America,,CAC,,,https://www.worldaquatics.com/athletes/1002586/molly-hannis,,,,,,,,,
Mona McSharry,Female,IRL,24,Breast,Stroke,University of Tennessee,SEC,8/21/2000,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1055945/mona-mc-sharry,,,,,,,,,
Mykhailo Romanchuk,Male,UKR,28,Free,Distance,N/A,N/A,8/7/1996,,,Europe,,N/A,"ENS, AQC",,https://www.worldaquatics.com/athletes/1019681/mykhailo-romanchuk,,,,,,,,,
Natalie Coughlin,Female,USA,42,"Fly, Back",Stroke,"University of California, Berkeley",ACC,8/23/1982,,,North America,,N/A,DCT,,https://www.worldaquatics.com/athletes/1000583/natalie-coughlin,,,,,,,,,
Natalie Hinds,Female,USA,31,"Fly, Free",Sprint,University of Florida,SEC,12/7/1993,,,North America,,CAC,,,https://www.worldaquatics.com/athletes/1104738/natalie-hinds,,,,,,,,,
Nathan Adrian,Male,USA,36,Free,Sprint,"University of California, Berkeley",ACC,12/7/1988,,,North America,,N/A,LAC,,https://www.worldaquatics.com/athletes/1001655/nathan-adrian,,,,,,,,,
Nathan Wiffen,Male,IRL,23,Free,Distance,"University of California, Berkeley",ACC,7/14/2001,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1197985/nathan-j-wiffen,,,,,,,,,
Nic Fink,Male,USA,31,Breast,Stroke,University of Georgia,SEC,7/3/1993,,,North America,,CAC,,,https://www.worldaquatics.com/athletes/1001632/nic-fink,,,,,,,,,
Nicholas Santos,Male,BRA,45,Fly,Sprint,N/A,N/A,2/14/1980,,,South America,,IRO,,,https://www.worldaquatics.com/athletes/1013877/nicholas-santos,,,,,,,,,
Nicolas Albiero,Male,BRA,25,"Fly, Back",Stroke,University of Louisville,ACC,6/8/1999,,,South America,,N/A,,,https://www.worldaquatics.com/athletes/1057408/nicolas-albiero,,,,,,,,,
Nicolo Martinenghi,Male,ITA,25,Breast,Stroke,N/A,N/A,8/1/1999,,,Europe,,AQC,,,https://www.worldaquatics.com/athletes/1020424/nicolo-martinenghi,,,,,,,,,
Noe Ponti,Male,SUI,23,Fly,Stroke,N/A,N/A,6/1/2001,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1138017/noe-ponti,,,,,,,,,
Nyls Korstanje,Male,NED,26,"Fly, Free",Sprint,North Carolina State University,ACC,2/5/1999,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1035963/nyls-korstanje,,,,,,,,,
Ole Braunschweig,Male,GER,27,Back,Stroke,N/A,N/A,11/15/1997,,,Europe,,NYB,,,https://www.worldaquatics.com/athletes/1045472/ole-braunschweig,,,,,,,,,
Olivia Bray,Female,USA,23,Fly,Stroke,University of Texas,SEC,1/1/2002,,,North America,,N/A,,,,,,,,,,,,
Olivia Smoliga,Female,USA,30,"Back, Free",Sprint,University of Georgia,SEC,10/12/1994,,,North America,,CAC,,,https://www.worldaquatics.com/athletes/1017205/olivia-smoliga,,,,,,,,,
Olivia Wunsch,,,18,Free,Sprint,N/A,N/A,5/31/2006,,,,,N/A,,,https://www.worldaquatics.com/athletes/1372237/olivia-wunsch,,,,,,,,,
Paige Madden,Female,USA,26,Free,Mid-D,University of Virginia,ACC,10/22/1998,,,North America,,TOK,,,https://www.worldaquatics.com/athletes/1137216/paige-madden,,,,,,,,,
Patrick Callan,Male,USA,25,Free,Mid-D,"University of California, Berkeley",ACC,10/6/1999,University of Michigan,B1G,North America,,N/A,,,https://www.worldaquatics.com/athletes/1057446/patrick-callan,,,,,,,,,
Peng Xuwei,,,22,Back,Stroke,N/A,N/A,1/15/2003,,,,,N/A,,,https://www.worldaquatics.com/athletes/1046705/xuwei-peng,,,,,,,,,
Penny Oleksiak,Female,CAN,24,"Fly, Free",Stroke,N/A,N/A,6/13/2000,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1035859/penny-oleksiak,,,,,,,,,
Pernille Blume,Female,DEN,31,Free,Sprint,N/A,N/A,5/4/1994,,,Europe,,NYB,,,https://www.worldaquatics.com/athletes/1000477/pernille-blume,,,,,,,,,
Phoebe Bacon,Female,USA,22,Back,Stroke,University of Wisconsin,B1G,8/12/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1136702/phoebe-bacon,,,,,,,,,
Pieter Coetze,,,21,Back,Stroke,N/A,N/A,5/13/2004,,,,,N/A,,,https://www.worldaquatics.com/athletes/1286863/pieter-coetze,,,,,,,,,
Radoslaw Kawecki,Male,POL,33,Back,Stroke,N/A,N/A,8/16/1991,,,Europe,,N/A,CAC,,https://www.worldaquatics.com/athletes/1000180/radoslaw-kawecki,,,,,,,,,
Ranomi Kromowidjojo,Female,NED,34,"Fly, Free",Sprint,N/A,N/A,8/20/1990,,,Europe,,N/A,IRO,,https://www.worldaquatics.com/athletes/1000685/ranomi-kromowidjojo,,,,,,,,,
Reece Whitley,Male,USA,25,Breast,Stroke,"University of California, Berkeley",ACC,1/3/2000,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1003516/reece-whitley,,,,,,,,,
Regan Smith,Female,USA,23,"Fly, Back",Stroke,Stanford University,ACC,2/9/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1048421/regan-smith,,,,,,,,,
Rex Maurer,,,20,Free,Distance,University of Texas,SEC,8/17/2004,,,,,N/A,,,https://www.worldaquatics.com/athletes/1339152/rex-michael-maurer,,,,,,,,,
Rhyan White,Female,USA,25,"Fly, Back",Stroke,University of Alabama,SEC,1/25/2000,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1137154/rhyan-white,,,,,,,,,
Robert Glinta,Male,ROM,28,Back,Stroke,University of Southern California,B1G,4/18/1997,,,Europe,,IRO,,,https://www.worldaquatics.com/athletes/1000415/robert-glinta,,,,,,,,,
Ross Dant,Male,USA,25,Free,Distance,North Carolina State University,ACC,1/1/2000,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1136821/ross-dant,,,,,,,,,
Ruta Meilutyte,Female,LTU,28,Breast,Sprint,N/A,N/A,3/19/1997,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1000661/ruta-meilutyte,,,,,,,,,
Ryan Held,Male,USA,29,"Fly, Free",Sprint,North Carolina State University,ACC,6/27/1995,,,North America,,LAC,,,https://www.worldaquatics.com/athletes/1043426/ryan-held,,,,,,,,,
Ryan Hoffer,Male,USA,26,"Fly, Free",Sprint,"University of California, Berkeley",ACC,7/9/1998,,,North America,,DCT,,,https://www.worldaquatics.com/athletes/1002600/ryan-hoffer,,,,,,,,,
Ryan Lochte,Male,USA,40,"IM, Back",Mid-D,University of Florida,SEC,8/3/1984,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1002615/ryan-lochte,,,,,,,,,
Ryan Murphy,Male,USA,29,Back,Stroke,"University of California, Berkeley",ACC,7/2/1995,,,North America,,LAC,,,https://www.worldaquatics.com/athletes/1002167/ryan-murphy,,,,,,,,,
Rylee Erisman,,,19,Free,Sprint,N/A,N/A,1/1/2006,,,,,N/A,,,,,,,,,,,,
Ryosuke Irie,Male,JPN,35,Back,Stroke,N/A,N/A,1/24/1990,,,Asia,,N/A,TOK,,https://www.worldaquatics.com/athletes/1000672/ryosuke-irie,,,,,,,,,
Sam Short,Male,AUS,21,Free,Distance,N/A,N/A,9/17/2003,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1188192/samuel-short,,,,,,,,,
Santo Condorelli,Male,ITA,30,"Fly, Free",Sprint,University of Southern California,B1G,1/17/1995,,,Europe,,N/A,AQC,,https://www.worldaquatics.com/athletes/1020131/santo-condorelli,,,,,,,,,
Sara Curtis,,,18,Free,Sprint,University of Virginia,ACC,8/19/2006,,,,,N/A,,,https://www.worldaquatics.com/athletes/1330409/sara-curtis,,,,,,,,,
Sarah Sjostrom,Female,SWE,31,"Fly, Free",Sprint,N/A,N/A,8/17/1993,,,Europe,,ENS,,,https://www.worldaquatics.com/athletes/1000553/sarah-sjoestroem,,,,,,,,,
Sarah Wellbrock,Female,GER,30,Free,Distance,N/A,N/A,6/20/1994,,,Europe,,N/A,AQC,,https://www.worldaquatics.com/athletes/1000586/sarah-wellbrock,,,,,,,,,
Se-Bom Lee,Male,AUS,23,Free,Mid-D,N/A,N/A,6/12/2001,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1132792/se-bom-lee,,,,,,,,,
Sean Grieshop,Male,USA,26,"IM, Free",Distance,"University of California, Berkeley",ACC,11/23/1998,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1001952/sean-grieshop,,,,,,,,,
Serhiy Frolov,Male,UKR,33,Free,Distance,N/A,N/A,4/14/1992,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1000491/sergii-frolov,,,,,,,,,
Shaine Casas,Male,USA,25,"IM, Back",Stroke,University of Texas,SEC,12/25/1999,Texas A&M University,SEC,North America,,N/A,,,https://www.worldaquatics.com/athletes/1137414/shaine-casas,,,,,,,,,
Shane Ryan,Male,IRL,31,"Back, Free",Sprint,Penn State University,B1G,1/27/1994,,,Europe,,TOR,LAC,,https://www.worldaquatics.com/athletes/1036578/shane-ryan,,,,,,,,,
Shayna Jack,Female,AUS,26,Free,Sprint,N/A,N/A,11/6/1998,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1020778/shayna-jack,,,,,,,,,
Sherridon Dressel,Female,USA,26,Back,Stroke,University of Florida,SEC,7/20/1998,,,North America,,CAC,,,,,,,,,,,,
Sierra Schmidt,Female,USA,27,Free,Distance,University of Michigan,B1G,5/6/1998,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1002361/sierra-schmidt,,,,,,,,,
Simona Quadarella,Female,ITA,26,Free,Distance,N/A,N/A,12/18/1998,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1020846/simona-quadarella,,,,,,,,,
Simone Manuel,Female,USA,28,Free,Sprint,Stanford University,ACC,8/2/1996,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1002059/simone-manuel,,,,,,,,,
Simone Sabbioni,Male,ITA,28,Back,Stroke,N/A,N/A,10/3/1996,,,Europe,,AQC,,,https://www.worldaquatics.com/athletes/1000750/simone-sabbioni,,,,,,,,,
Siobhan Haughey,Female,HKG,27,Free,Stroke,University of Michigan,B1G,10/31/1997,,,Asia,,ENS,,,https://www.worldaquatics.com/athletes/1001344/siobhan-haughey,,,,,,,,,
Sophie Hansson,Female,SWE,26,Breast,Stroke,North Carolina State University,ACC,8/2/1998,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1019798/sophie-hansson,,,,,,,,,
Summer McIntosh,Female,CAN,18,"IM, Free",Mid-D,N/A,N/A,8/18/2006,,,North America,,TOR,,,https://www.worldaquatics.com/athletes/1252422/summer-mcintosh,,,,,,,,,
Sun Woo Hwang,Male,KOR,22,Free,Sprint,N/A,N/A,5/21/2003,,,Asia,,N/A,,,https://www.worldaquatics.com/athletes/1140557/sunwoo-hwang,,,,,,,,,
Sun Yang,Male,CHN,33,Free,Distance,N/A,N/A,12/1/1991,,,Asia,,N/A,,,https://www.worldaquatics.com/athletes/1017653/yang-sun,,,,,,,,,
Sydney Pickrem,Female,CAN,28,"IM, Breast",Mid-D,Texas A&M University,SEC,5/21/1997,,,North America,,LON,,,https://www.worldaquatics.com/athletes/1005898/sydney-pickrem,,,,,,,,,
Szebasztian Szabo,Male,HUN,29,"Fly, Free",Sprint,N/A,N/A,3/11/1996,,,Europe,,AQC,IRO,,https://www.worldaquatics.com/athletes/1168177/szebasztian-szabo,,,,,,,,,
Tang Qianting,#REF!,,21,Breast,Stroke,N/A,N/A,3/14/2004,,,,,N/A,,,https://www.worldaquatics.com/athletes/1046710/qianting-tang,,,,,,,,,
Tatjana Smith,Female,RSA,27,Breast,Stroke,N/A,N/A,7/9/1997,,,Africa,,N/A,,,https://www.worldaquatics.com/athletes/1000622/tatjana-smith,,,,,,,,,
Taylor Ruck,Female,CAN,24,"Back, Free",Stroke,Stanford University,ACC,5/28/2000,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1020725/taylor-ruck,,,,,,,,,
Tes Schouten,Female,NED,24,Breast,Stroke,N/A,N/A,12/31/2000,,,Europe,,NYB,,,https://www.worldaquatics.com/athletes/1048449/tes-schouten,,,,,,,,,
Tessa Cieplucha,Female,CAN,26,"IM, Breast",Mid-D,University of Tennessee,SEC,9/24/1998,,,North America,,TOR,,,https://www.worldaquatics.com/athletes/1020882/tessa-cieplucha,,,,,,,,,
Thom De Boer,Male,NED,33,Free,Sprint,N/A,N/A,12/24/1991,,,Europe,,IRO,,,https://www.worldaquatics.com/athletes/1048516/thom-de-boer,,,,,,,,,
Thomas Ceccon,Male,ITA,24,"Back, Free",Sprint,N/A,N/A,1/27/2001,,,Europe,,AQC,,,https://www.worldaquatics.com/athletes/1057454/thomas-ceccon,,,,,,,,,
Thomas Heilman,Male,USA,18,"IM, Fly",Stroke,University of Virginia,ACC,2/7/2007,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1552639/thomas-heilman,,,,,,,,,
Thomas Neill,Male,AUS,22,Free,Distance,N/A,N/A,6/9/2002,,,Austrailia,,N/A,,,https://www.worldaquatics.com/athletes/1188019/thomas-neill,,,,,,,,,
Tom Dean,Male,GBR,25,"IM, Free",Mid-D,N/A,N/A,5/2/2000,,,Europe,,LON,,,https://www.worldaquatics.com/athletes/1134714/tom-dean,,,,,,,,,
Tom Shields,Male,USA,33,Fly,Stroke,"University of California, Berkeley",ACC,7/11/1991,,,North America,,LAC,,,https://www.worldaquatics.com/athletes/1001159/tom-shields,,,,,,,,,
Tommy Cope,Male,USA,27,"IM, Breast",Mid-D,University of Michigan,B1G,11/1/1997,,,North America,,DCT,,,https://www.worldaquatics.com/athletes/1516247/tommy-cope,,,,,,,,,
Tomoe Hvas,Male,NOR,24,"IM, Fly",Mid-D,N/A,N/A,6/1/2000,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1136457/tomoe-hvas,,,,,,,,,
Tomoru Honda,Male,JPN,23,"IM, Fly",Mid-D,N/A,N/A,12/31/2001,,,Asia,,TOK,,,https://www.worldaquatics.com/athletes/1062094/tomoru-honda,,,,,,,,,
Torri Huske,Female,USA,22,"Fly, Free",Sprint,Stanford University,ACC,12/7/2002,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1190607/torri-huske,,,,,,,,,
Townley Haas,Male,USA,28,Free,Mid-D,University of Texas,SEC,12/13/1996,,,North America,,N/A,CAC,,https://www.worldaquatics.com/athletes/1005033/townley-haas,,,,,,,,,
Trenton Julian,Male,USA,26,"Fly, Free",Mid-D,"University of California, Berkeley",ACC,12/9/1998,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1189952/trenton-julian,,,,,,,,,
Trey Freeman,Male,USA,25,Free,Mid-D,University of Florida,SEC,1/1/2000,,,North America,,N/A,,,https://www.worldaquatics.com/athletes/1057320/trey-freeman,,,,,,,,,
Valentine Dumont,Female,BEL,25,Free,Distance,N/A,N/A,2/7/2000,,,Europe,,LAC,IRO,,https://www.worldaquatics.com/athletes/1098684/valentine-dumont,,,,,,,,,
Viktoria Gunes,Female,TUR,26,"IM, Breast",Mid-D,N/A,N/A,6/19/1998,,,Asia,Europe,ENS,,,https://www.worldaquatics.com/athletes/1000595/viktoria-gunes,,,,,,,,,
Vini Lanza,Male,BRA,28,"IM, Fly",Stroke,Indiana University,B1G,3/22/1997,,,South America,,LON,,,https://www.worldaquatics.com/athletes/1020809/vinicius-lanza,,,,,,,,,
Vladimir Morozov,Male,RUS,32,Free,Sprint,University of Southern California,B1G,6/16/1992,,,Asia,Europe,TOK,IRO,,https://www.worldaquatics.com/athletes/1000756/vladimir-morozov,,,,,,,,,
Wang Shun,Male,CHN,31,IM,Stroke,N/A,N/A,2/11/1994,,,Asia,,N/A,,,https://www.worldaquatics.com/athletes/1005934/shun-wang,,,,,,,,,
Will Gallant,Male,USA,23,Free,Distance,North Carolina State University,ACC,7/19/2001,,,North America,,N/A,,,,,,,,,,,,
Will Licon,Male,USA,30,"IM, Breast",Stroke,University of Texas,SEC,8/25/1994,,,North America,,LAC,,,https://www.worldaquatics.com/athletes/1055993/will-licon,,,,,,,,,
Woomin Kim,,,23,Free,Distance,N/A,N/A,8/24/2001,,,,,N/A,,,https://www.worldaquatics.com/athletes/1135699/woomin-kim,,,,,,,,,
Xu Jiayu,Male,CHN,29,Back,Stroke,N/A,N/A,8/19/1995,,,Asia,,N/A,,,https://www.worldaquatics.com/athletes/1019626/jiayu-xu,,,,,,,,,
Ye Shiwen,Female,CHN,29,"IM, Breast",Mid-D,N/A,N/A,3/1/1996,,,Asia,,N/A,,,https://www.worldaquatics.com/athletes/1019978/shiwen-ye,,,,,,,,,
Yohann Ndoye-Brouard,Male,FRA,24,Back,Stroke,N/A,N/A,11/29/2000,,,Europe,,N/A,,,https://www.worldaquatics.com/athletes/1134908/yohann-ndoye-brouard,,,,,,,,,
Youssef Ramadan,Male,EGY,22,"Fly, Free",Sprint,Virginia Tech University,ACC,7/7/2002,,,Asia,Africa,N/A,,,https://www.worldaquatics.com/athletes/1304120/youssef-ramadan,,,,,,,,,
Yu Yiting,Female,CHN,19,IM,Stroke,N/A,N/A,9/5/2005,,,Asia,,N/A,,,https://www.worldaquatics.com/athletes/1133442/yiting-yu,,,,,,,,,
Yui Ohashi,Female,JPN,29,IM,Stroke,N/A,N/A,10/18/1995,,,Asia,,TOK,,,https://www.worldaquatics.com/athletes/1006109/yui-ohashi,,,,,,,,,
Yulia Efimova,Female,RUS,33,Breast,Stroke,N/A,N/A,4/3/1992,,,Asia,Europe,N/A,,,https://www.worldaquatics.com/athletes/1010658/yuliya-efimova,,,,,,,,,
Zac Stubblety-Cook,Male,AUS,26,Breast,Stroke,N/A,N/A,1/4/1999,,,Austrailia,,TOK,,,https://www.worldaquatics.com/athletes/1057224/zac-stubblety-cook,,,,,,,,,
Zach Apple,Male,USA,28,Free,Sprint,Indiana University,B1G,4/23/1997,Auburn University,SEC,North America,,DCT,,,https://www.worldaquatics.com/athletes/1056892/zach-apple,,,,,,,,,
Zach Harting,Male,USA,27,Fly,Stroke,University of Louisville,ACC,8/27/1997,,,North America,,DCT,,,https://www.worldaquatics.com/athletes/1003263/zach-harting,,,,,,,,,
Zalan Sarkany,,,21,Free,Distance,Indiana University,B1G,10/15/2003,,,,,N/A,,,https://www.worldaquatics.com/athletes/1233023/zalan-sarkany,,,,,,,,,
Zane Grothe,Male,USA,33,Free,Distance,Auburn University,SEC,4/22/1992,,,North America,,DCT,,,https://www.worldaquatics.com/athletes/1002239/zane-grothe,,,,,,,,,
Zane Waddell,Male,RSA,27,"Back, Free",Sprint,University of Alabama,SEC,3/18/1998,,,Africa,,N/A,,,https://www.worldaquatics.com/athletes/1056281/zane-waddell,,,,,,,,,
Zhang Yufei,Female,CHN,27,Fly,Stroke,N/A,N/A,4/19/1998,,,Asia,,N/A,,,https://www.worldaquatics.com/athletes/1000490/yufei-zhang,,,,,,,,,
Zhanle Pan,Male,CHN,20,Free,Stroke,N/A,N/A,8/4/2004,,,Asia,,N/A,,,https://www.worldaquatics.com/athletes/1313859/zhanle-pan,,,,,,,,,
Zoie Hartman,Female,USA,24,"IM, Breast",Stroke,University of Georgia,SEC,12/20/2000,,,North America,,N/A,,,,,,,,,,,,
Zsuzsanna Jakabos,Female,HUN,36,"IM, Fly",Mid-D,"University of Nevada, Las Vegas",MWC,4/3/1989,,,Europe,,DCT,ENS,,https://www.worldaquatics.com/athletes/1000755/zsuzsanna-jakabos,,,,,,,,,